action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2214626,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '16.02', 'le': '0.32', 'lle': '4.01', 'sei': '4.41'}",CHEMBL458563,,CHEMBL458563,4.62,0,http://www.openphacts.org/units/Nanomolar,742199,=,1,1,=,,IC50,nM,,24100.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,24.1
,,2214627,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '14.88', 'le': '0.29', 'lle': '3.14', 'sei': '4.70'}",CHEMBL457466,,CHEMBL457466,4.92,0,http://www.openphacts.org/units/Nanomolar,742198,=,1,1,=,,IC50,nM,,12100.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,12.1
,,2214628,[],CHEMBL984306,Promotion of flag-tagged cIAP1 degradation in human HT1080 cells assessed as decrease in cIAPI production after 3 hrs,B,,,BAO_0000190,BAO_0000219,cell-based format,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,,,CHEMBL1149858,Bioorg Med Chem,2008,"{'bei': '18.08', 'le': '0.35', 'lle': '4.19', 'sei': '5.70'}",CHEMBL457093,,CHEMBL457093,5.97,0,http://www.openphacts.org/units/Nanomolar,742185,=,1,1,=,,IC50,nM,,1060.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,uM,UO_0000065,,1.06
,,3439242,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '14.96', 'le': '0.28', 'lle': '6.05', 'sei': '7.18'}",CHEMBL1241426,,CHEMBL1241426,8.59,0,http://www.openphacts.org/units/Nanomolar,952154,=,1,1,=,,IC50,nM,,2.6,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,2.6
,,3439243,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CC[C@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '11.60', 'le': '0.21', 'lle': '3.82', 'sei': '5.91'}",CHEMBL1241425,,CHEMBL1241425,7.08,0,http://www.openphacts.org/units/Nanomolar,952153,=,1,1,=,,IC50,nM,,84.1,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,84.1
,,3439244,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](NC(=O)Cc2ccccc2)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '13.06', 'le': '0.24', 'lle': '4.70', 'sei': '6.66'}",CHEMBL1241424,,CHEMBL1241424,7.96,0,http://www.openphacts.org/units/Nanomolar,952152,=,1,1,=,,IC50,nM,,10.9,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,10.9
,,3439245,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CC[C@H](O)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '14.90', 'le': '0.28', 'lle': '5.45', 'sei': '6.63'}",CHEMBL1242922,,CHEMBL1242922,7.34,0,http://www.openphacts.org/units/Nanomolar,954326,=,1,1,=,,IC50,nM,,45.5,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,45.5
,,3439246,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](O)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '14.74', 'le': '0.28', 'lle': '5.37', 'sei': '6.56'}",CHEMBL1243385,,CHEMBL1243385,7.26,0,http://www.openphacts.org/units/Nanomolar,954959,=,1,1,=,,IC50,nM,,54.5,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,54.5
,,3439247,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)Cc2ccccc2)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '13.51', 'le': '0.25', 'lle': '5.23', 'sei': '7.26'}",CHEMBL504559,,CHEMBL504559,8.05,0,http://www.openphacts.org/units/Nanomolar,952151,=,1,1,=,,IC50,nM,,9.0,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,9.0
,,3439248,[],CHEMBL1248007,Displacement of fluorescent SM5F peptide from His-tagged human cIAP1 BIR3 domain expressed in Escherichia coli BL21(DE3) cells by fluorescence polarization-based assay,B,,,BAO_0000190,BAO_0000219,cell-based format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,,,CHEMBL1240488,J Med Chem,2010,"{'bei': '15.39', 'le': '0.29', 'lle': '4.42', 'sei': '8.10'}",CHEMBL481422,,CHEMBL481422,7.33,0,http://www.openphacts.org/units/Nanomolar,954960,=,1,1,=,,IC50,nM,,46.2,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,46.2
,,6196239,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCc4ccc(CCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.85', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774157,,CHEMBL1774157,8.59,0,http://www.openphacts.org/units/Nanomolar,1422015,=,1,1,=,,IC50,nM,,2.6,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,2.6
,,6196241,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.97', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774031,,CHEMBL1774031,8.55,0,http://www.openphacts.org/units/Nanomolar,1421824,=,1,1,=,,IC50,nM,,2.8,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,2.8
,,6196252,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.71', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774160,,CHEMBL1774160,8.49,0,http://www.openphacts.org/units/Nanomolar,1422018,=,1,1,=,,IC50,nM,,3.2,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,3.2
,,6196254,[],CHEMBL1777017,Competitive inhibition of human cIAP1BIR2-BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCc4ccc(CCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.72', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774157,,CHEMBL1774157,8.44,0,http://www.openphacts.org/units/Nanomolar,1422015,=,1,1,=,,IC50,nM,,3.6,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,3.6
,,6196258,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.43', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774154,,CHEMBL1774154,8.34,0,http://www.openphacts.org/units/Nanomolar,1422011,=,1,1,=,,IC50,nM,,4.6,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,4.6
,,6196259,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCOCCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.63', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774163,,CHEMBL1774163,8.31,0,http://www.openphacts.org/units/Nanomolar,1422021,=,1,1,=,,IC50,nM,,4.9,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,4.9
,,6196265,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCc4ccc(CCCCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.02', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774158,,CHEMBL1774158,8.27,0,http://www.openphacts.org/units/Nanomolar,1422016,=,1,1,=,,IC50,nM,,5.4,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,5.4
,,6196266,[],CHEMBL1777017,Competitive inhibition of human cIAP1BIR2-BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4ccc(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.35', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774154,,CHEMBL1774154,8.24,0,http://www.openphacts.org/units/Nanomolar,1422011,=,1,1,=,,IC50,nM,,5.7,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,5.7
,,6196267,[],CHEMBL1777017,Competitive inhibition of human cIAP1BIR2-BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCc4ccc(CCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.74', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774156,,CHEMBL1774156,8.24,0,http://www.openphacts.org/units/Nanomolar,1422014,=,1,1,=,,IC50,nM,,5.7,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,5.7
,,6196272,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCc4ccc(CCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.70', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774156,,CHEMBL1774156,8.21,0,http://www.openphacts.org/units/Nanomolar,1422014,=,1,1,=,,IC50,nM,,6.2,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,6.2
,,6196273,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4cn(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.38', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774161,,CHEMBL1774161,8.21,0,http://www.openphacts.org/units/Nanomolar,1422019,=,1,1,=,,IC50,nM,,6.2,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,6.2
,,6196275,[],CHEMBL1777017,Competitive inhibition of human cIAP1BIR2-BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCc4cn(CCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.36', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774161,,CHEMBL1774161,8.19,0,http://www.openphacts.org/units/Nanomolar,1422019,=,1,1,=,,IC50,nM,,6.5,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,6.5
,,6196278,[],CHEMBL1777015,Competitive inhibition of human cIAP1 BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCNC(=O)NCCCCn4cc([C@@H](NC(=O)[C@@H]5CC[C@@H]6CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N65)c5ccccc5)nn4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '7.40', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774162,,CHEMBL1774162,8.17,0,http://www.openphacts.org/units/Nanomolar,1422020,=,1,1,=,,IC50,nM,,6.8,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,6.8
,,6196281,[],CHEMBL1777017,Competitive inhibition of human cIAP1BIR2-BIR3 domain after 2 to 3 hrs by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)N[C@@H](c3ccccc3)c3cn(CCCCCCCCc4ccc(CCCCCCCCn5cc([C@@H](NC(=O)[C@@H]6CC[C@@H]7CCCC[C@H](NC(=O)[C@H](C)NC)C(=O)N76)c6ccccc6)nn5)cc4)nn3)N2C1=O,,,CHEMBL1772970,J Med Chem,2011,"{'bei': '6.60', 'le': None, 'lle': None, 'sei': None}",CHEMBL1774159,,CHEMBL1774159,8.14,0,http://www.openphacts.org/units/Nanomolar,1422017,=,1,1,=,,IC50,nM,,7.3,CHEMBL5462,Homo sapiens,Baculoviral IAP repeat-containing protein 2,9606,,,IC50,nM,UO_0000065,,7.3
